threshold,precision,recall,f1,youden_j,roc_dist_to_top_left,tp,fp,tn,fn
0.46,0.9248554913294798,0.9552238805970149,0.9397944199706314,0.7291369240752759,0.24756123360667442,320,26,89,15
0.47000000000000003,0.9248554913294798,0.9552238805970149,0.9397944199706314,0.7291369240752759,0.24756123360667442,320,26,89,15
0.48,0.927536231884058,0.9552238805970149,0.9411764705882353,0.7378325762491889,0.2219546802273823,320,25,90,15
0.49,0.927536231884058,0.9552238805970149,0.9411764705882353,0.7378325762491889,0.2219546802273823,320,25,90,15
0.5,0.9273255813953488,0.9522388059701492,0.9396170839469808,0.734847501622323,0.2219546802273823,319,25,90,16
0.51,0.9273255813953488,0.9522388059701492,0.9396170839469808,0.734847501622323,0.22257607881622454,319,25,90,16
0.52,0.9296187683284457,0.9462686567164179,0.9378698224852071,0.7375730045425049,0.2140911181984249,317,24,91,18
0.53,0.9296187683284457,0.9462686567164179,0.9378698224852071,0.7375730045425049,0.2140911181984249,317,24,91,18
0.54,0.9296187683284457,0.9462686567164179,0.9378698224852071,0.7375730045425049,0.2140911181984249,317,24,91,18
0.55,0.9294117647058824,0.9432835820895522,0.9362962962962963,0.734587929915639,0.2140911181984249,316,24,91,19
0.56,0.9292035398230089,0.9402985074626866,0.9347181008902077,0.7316028552887737,0.21790704655683815,315,24,91,20
0.5700000000000001,0.9292035398230089,0.9402985074626866,0.9347181008902077,0.7316028552887737,0.21790704655683815,315,24,91,20
0.58,0.9289940828402367,0.9373134328358209,0.9331352154531947,0.7286177806619079,0.21790704655683815,314,24,91,21
0.59,0.9317507418397626,0.9373134328358209,0.9345238095238095,0.7373134328358208,0.21790704655683815,314,23,92,21
0.6,0.9317507418397626,0.9373134328358209,0.9345238095238095,0.7373134328358208,0.20959390664527713,314,23,92,21
0.61,0.9315476190476191,0.9343283582089552,0.9329359165424739,0.7343283582089553,0.20959390664527713,313,23,92,22
0.62,0.9315476190476191,0.9343283582089552,0.9329359165424739,0.7343283582089553,0.20959390664527713,313,23,92,22
0.63,0.9313432835820895,0.9313432835820895,0.9313432835820895,0.7313432835820897,0.20959390664527713,312,23,92,23
0.64,0.9311377245508982,0.9283582089552239,0.929745889387145,0.7283582089552239,0.21453114756813077,311,23,92,24
0.65,0.9309309309309309,0.9253731343283582,0.9281437125748503,0.7253731343283583,0.21453114756813077,310,23,92,25
0.66,0.9307228915662651,0.9223880597014925,0.9265367316341829,0.7223880597014927,0.21453114756813077,309,23,92,26
0.67,0.9307228915662651,0.9223880597014925,0.9265367316341829,0.7223880597014927,0.21453114756813077,309,23,92,26
0.68,0.9335347432024169,0.9223880597014925,0.9279279279279279,0.7310837118754057,0.21453114756813077,309,22,93,26
0.6900000000000001,0.9333333333333333,0.9194029850746268,0.9263157894736842,0.7280986372485398,0.2064484603334778,308,22,93,27
0.7000000000000001,0.9357798165137615,0.9134328358208955,0.9244712990936556,0.7308241401687217,0.20082803943101854,306,21,94,29
0.71,0.9357798165137615,0.9134328358208955,0.9244712990936556,0.7308241401687217,0.20082803943101854,306,21,94,29
0.72,0.9357798165137615,0.9134328358208955,0.9244712990936556,0.7308241401687217,0.20471709773527752,306,21,94,29
0.73,0.9355828220858896,0.9104477611940298,0.9228441754916793,0.7278390655418558,0.20471709773527752,305,21,94,30
0.74,0.9353846153846154,0.9074626865671642,0.9212121212121213,0.7248539909149905,0.20471709773527752,304,21,94,31
0.75,0.9411764705882353,0.9074626865671642,0.9240121580547113,0.7422452952628165,0.20471709773527752,304,19,96,31
0.76,0.9470404984423676,0.9074626865671642,0.926829268292683,0.7596365996106424,0.17440099300819367,304,17,98,31
0.77,0.9467084639498433,0.9014925373134328,0.9235474006116208,0.753666450356911,0.17764085169189703,302,17,98,33
0.78,0.949685534591195,0.9014925373134328,0.9249617151607963,0.7623621025308243,0.17047286613342066,302,16,99,33
0.79,0.9493670886075949,0.8955223880597015,0.9216589861751152,0.7563919532770929,0.17579962140752836,300,16,99,35
0.8,0.9519230769230769,0.8865671641791045,0.9180834621329211,0.7561323815704089,0.1690013654335676,297,15,100,38
0.81,0.9548387096774194,0.8835820895522388,0.9178294573643411,0.7618429591174563,0.16639538491613054,296,14,101,39
0.8200000000000001,0.9545454545454546,0.8776119402985074,0.9144634525660964,0.7558728098637248,0.17262460148111314,294,14,101,41
0.8300000000000001,0.9572368421052632,0.8686567164179104,0.9107981220657277,0.7556132381570408,0.1666063178118159,291,13,102,44
0.84,0.9602649006622517,0.8656716417910447,0.9105180533751962,0.7613238157040882,0.17556462000194997,290,12,103,45
0.85,0.9630872483221476,0.8567164179104477,0.9067930489731437,0.7610642439974042,0.16980285501294917,287,11,104,48
0.86,0.9658703071672355,0.844776119402985,0.9012738853503185,0.7578195976638544,0.16760555351593015,283,10,105,52
0.87,0.9657534246575342,0.8417910447761194,0.8995215311004785,0.7548345230369891,0.1805311889563676,282,10,105,53
0.88,0.9689655172413794,0.8388059701492537,0.8992,0.7605451005840362,0.1765073290776783,281,9,106,54
0.89,0.9722222222222222,0.835820895522388,0.898876404494382,0.7662556781310836,0.17830899533610203,280,8,107,55
0.9,0.9755244755244755,0.8328358208955224,0.8985507246376812,0.771966255678131,0.17790156476385502,279,7,108,56
0.91,0.9752650176678446,0.8238805970149253,0.8932038834951457,0.763011031797534,0.1863414824390248,276,7,108,59
0.92,0.9787234042553191,0.8238805970149253,0.8946515397082658,0.771706683971447,0.17952123544442866,276,6,109,59
0.93,0.9856115107913669,0.817910447761194,0.8939641109298532,0.7831278390655418,0.17952123544442866,274,4,111,61
0.9400000000000001,0.9854545454545455,0.808955223880597,0.8885245901639345,0.7741726151849448,0.20594360973079276,271,4,111,64
0.9500000000000001,0.9888475836431226,0.7940298507462686,0.8807947019867549,0.7679428942245297,0.2046545133190112,266,3,112,69
0.96,0.9887218045112782,0.7850746268656716,0.8752079866888519,0.7589876703439327,0.2046545133190112,263,3,112,72
0.97,0.9885496183206107,0.7731343283582089,0.8676716917922948,0.7470473718364699,0.24616229997818817,259,3,112,76
0.98,0.9921259842519685,0.7522388059701492,0.8556876061120543,0.734847501622323,0.24539316636145986,252,2,113,83
0.99,0.9958677685950413,0.7194029850746269,0.8353552859618717,0.7107073329007139,0.27774809407632617,241,1,114,94
1.0,1.0,0.005970149253731343,0.011869436201780416,0.005970149253731405,0.9940298507462687,2,0,115,333
