threshold,precision,recall,f1,youden_j,roc_dist_to_top_left,tp,fp,tn,fn
0.68,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.6900000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.7000000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.71,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.72,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.73,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.74,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.75,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.76,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.77,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.78,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.79,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.8,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.81,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.8200000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.8300000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.84,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.85,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.86,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.87,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.88,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.89,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.9,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.91,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.92,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.93,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.9400000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.9500000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.96,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.97,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.98,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.99,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
1.0,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
